time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T18:49:39.980Z,19.1861667633057,-155.432327270508,32.9799995422363,2.07999992,md,31,159,,0.100000001,hv,hv72961032,2022-03-24T18:53:02.580Z,"5 km ESE of Pāhala, Hawaii",earthquake,0.69,0.800000012,1.03999996,11,automatic,hv,hv
2022-03-24T18:47:52.290Z,33.956,-116.7611667,20.52,0.6,ml,14,97,0.08794,0.17,ci,ci39977031,2022-03-24T20:07:44.925Z,"5km NNE of Cabazon, CA",earthquake,0.45,1.13,0.118,6,reviewed,ci,ci
2022-03-24T18:37:29.430Z,35.6431667,-117.4545,7.89,1.41,ml,27,97,0.05689,0.14,ci,ci39977015,2022-03-24T20:04:42.324Z,"15km SSW of Searles Valley, CA",earthquake,0.22,0.59,0.114,16,reviewed,ci,ci
2022-03-24T18:36:52.070Z,46.32083333333333,-122.25183333333334,9.92,0.75,ml,16,141,0.01971,0.17,uw,uw61815817,2022-03-24T21:17:31.360Z,"26 km S of Morton, Washington",earthquake,0.51,0.74,0.0936383579434652,10,reviewed,uw,uw
2022-03-24T18:28:57.414Z,-10.9805,114.5499,10,4.8,mb,,121,2.525,0.64,us,us7000gwxb,2022-03-24T19:00:51.040Z,"251 km SSW of Jimbaran, Indonesia",earthquake,8.5,1.9,0.091,40,reviewed,us,us
2022-03-24T18:23:04.930Z,43.6655,-123.43683333333334,-0.35,1.3,ml,5,213,0.03241,0.08,uw,uw61815802,2022-03-24T21:11:14.790Z,"9 km W of Drain, Oregon",explosion,0.46,31.61,0.24980691994241322,3,reviewed,uw,uw
2022-03-24T18:07:56.337Z,50.638,-174.896,10,4.3,mb,,127,1.625,0.42,us,us7000gwx4,2022-03-24T19:27:36.040Z,"179 km SSW of Atka, Alaska",earthquake,6.8,1.9,0.049,122,reviewed,us,us
2022-03-24T18:02:04.512Z,-33.6421,-178.865,10,5.2,mb,,102,4.44,0.92,us,us7000gwx3,2022-03-24T19:52:58.040Z,"south of the Kermadec Islands",earthquake,5.7,1.8,0.073,61,reviewed,us,us
2022-03-24T18:02:03.691Z,63.3469,-151.1934,6.7,1.9,ml,,,,0.96,ak,ak0223tkc1l0,2022-03-24T18:08:49.742Z,"34 km SE of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-24T17:55:47.980Z,33.321,-116.3778333,10.55,0.97,ml,32,83,0.01062,0.14,ci,ci39976935,2022-03-24T18:15:27.350Z,"7km N of Borrego Springs, CA",earthquake,0.21,0.36,0.116,20,reviewed,ci,ci
2022-03-24T17:51:25.160Z,34.3336667,-118.5685,10.85,1.27,ml,29,55,0.03927,0.23,ci,ci39976927,2022-03-24T18:11:19.186Z,"9km NNE of Chatsworth, CA",earthquake,0.38,0.68,0.105,19,reviewed,ci,ci
2022-03-24T17:46:22.020Z,38.8218333,-122.8068333,2.99,0.45,md,32,37,0.002973,0.03,nc,nc73709866,2022-03-24T20:56:13.166Z,"7km NW of The Geysers, CA",earthquake,0.14,0.26,0.126,5,reviewed,nc,nc
2022-03-24T17:42:55.230Z,35.8886667,-117.7041667,9.49,0.38,ml,12,66,0.07348,0.06,ci,ci39976911,2022-03-24T18:18:27.731Z,"19km ESE of Little Lake, CA",earthquake,0.18,0.43,0.122,4,reviewed,ci,ci
2022-03-24T17:39:37.139Z,65.6551,-150.7929,0,1.6,ml,,,,0.87,ak,ak0223tjym29,2022-03-24T17:42:53.429Z,"33 km WNW of Rampart, Alaska",earthquake,,0.4,,,automatic,ak,ak
